date,mid_t,F_t,y_price,abs_y
2021-02-09,180.0,47765.0,53.714117591663225,53.714117591663225
2022-04-26,60.0,38220.0,51.51946882768363,51.51946882768363
2022-09-12,55.0,22455.0,50.424207128932714,50.424207128932714
2020-12-22,72.5,23445.0,50.221102999688334,50.221102999688334
2022-09-07,105.0,18925.0,49.93138844191349,49.93138844191349
2020-04-23,10.0,7540.0,49.69703978029456,49.69703978029456
2021-03-25,250.0,52195.0,47.67108235838602,47.67108235838602
2020-07-28,11.5,11035.0,47.59730665729214,47.59730665729214
2021-03-09,457.5,54720.0,47.541139874611794,47.541139874611794
2023-04-27,35.0,29690.0,46.71264690260495,46.71264690260495
2020-10-29,18.0,13505.0,46.37093807678722,46.37093807678722
2023-06-29,7.0,30550.0,45.64372525981848,45.64372525981848
2021-02-24,50.0,49135.0,44.84412424865681,44.84412424865681
