model,params,score_mean,fold_scores,n_splits,gap,min_train_days,use_trva,best_iteration_median
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.903039728888593}",-0.7774488597128807,"[-1.3532190229387795, -0.2016786964869819]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 10.05150608466081}",-0.17807485067633422,"[-0.18242234425704074, -0.1737273570956277]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.24853845095262}",-1.4422009854849374,"[-2.681006491932927, -0.20339547903694788]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 14.092291316435567}",-0.13870914117872557,"[-0.11605100632969112, -0.16136727602776002]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.7382751981499337}",-0.8592343698575036,"[-1.5163494948838636, -0.20211924483114352]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.3544655931853291}",-1.2205425317122733,"[-2.2379611852965797, -0.20312387812796673]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.748291778269796}",-0.2610921764783748,"[-0.3349351469672861, -0.18724920598946349]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.114900690488732}",-2.0406267370602085,"[-3.877519049712234, -0.20373442440818335]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 30.677508679378768}",-0.06540903994577507,"[-0.013493581643593044, -0.1173244982479571]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.10329669551879739}",-2.132820785020711,"[-4.061877914105528, -0.20376365593589374]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 10.800642976741367}",-0.16914081726590113,"[-0.16688311109874965, -0.17139852343305262]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.6456897906217103}",-0.9172017304158434,"[-1.6320390356158123, -0.2023644252158745]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 16.053955926854297}",-0.1250747223795169,"[-0.09457364984822503, -0.15557579491080875]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 77.01328264939123}",0.007313807409844886,"[0.053057367710848125, -0.03842975289115835]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.5575186893674787}",-0.9843929387351439,"[-1.7661896047130896, -0.20259627275719816]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.351456545529511}",-0.27376711258601194,"[-0.35904350927448636, -0.18849071589753752]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.972082434777331}",-0.25453521325616235,"[-0.32252309183799244, -0.18654733467433227]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.209016311370383}",-0.2786835323202834,"[-0.36843186376323644, -0.1889352008773304]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.46692260295589777}",-1.0712796422287112,"[-1.9397265016377356, -0.20283278281968697]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 72.1517774831431}",0.0025265701016405906,"[0.04967999786053401, -0.04462685765725283]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.1947049130435388}",-0.4795394557436894,"[-0.7610147723095424, -0.19806413917783638]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 34.61194599494399}",-0.055265018296690616,"[-0.002102847044582523, -0.10842718954879871]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 12.544051430643316}",-0.1515516949279394,"[-0.13706292553015942, -0.1660404643257194]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.7803884850277908}",-0.8360981357698496,"[-1.4701891214067246, -0.20200715013297454]",3,1,60,True,
