model,params,score_mean,fold_scores,n_splits,gap,min_train_days,use_trva,best_iteration_median
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.24853845095262}",-1.2287495373162503,"[-2.4855300843844645, 0.028031009751964153]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 14.092291316435567}",-0.052466306870112,"[-0.13664982059317898, 0.03171720685295498]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.7382751981499337}",-0.7023844429541497,"[-1.4329426810331989, 0.028173795124899592]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.3544655931853291}",-1.0373528581083369,"[-2.1027677054919054, 0.028061989275231736]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.748291778269796}",-0.1782861079191363,"[-0.3861481874537076, 0.029575971615435015]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.114900690488732}",-1.650379804339492,"[-3.3287514580288446, 0.027991849349860765]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 30.677508679378768}",0.005876537660238379,"[-0.02367649919765058, 0.03542957451812734]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.10329669551879739}",-1.7039602583024709,"[-3.435908961533043, 0.027988444928101153]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 10.800642976741367}",-0.0831986121798175,"[-0.19729537293154387, 0.030898148571908868]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.6456897906217103}",-0.756087405292434,"[-1.540321698096339, 0.028146887511470986]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 16.053955926854297}",-0.039547867793923386,"[-0.11128663335245115, 0.032190897764604376]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 77.01328264939123}",0.03593916783704748,"[0.02855673207499765, 0.043321603599097314]",3,1,60,True,
