model,params,score_mean,fold_scores,n_splits,gap,min_train_days,use_trva,best_iteration_median
ridge,"{'max_iter': np.int64(10000), 'alpha': 29.038868465087933}",-0.0010511724808166534,"[-0.06902004633262626, 0.06691770137099295]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.19557071673386747}",-0.20160269494354005,"[-0.4865301027441373, 0.08332471285705723]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 32.64635677523521}",-0.00020801274385134905,"[-0.06638855378230857, 0.06597252829460587]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.19422056969726925}",-0.20169741396565094,"[-0.4867209038247735, 0.08332607589347163]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 84.99206771743685}",0.0038653743700280407,"[-0.05348003747105068, 0.06121078621110676]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.5465581928924363}",-0.10348301918733038,"[-0.28803243757329544, 0.08106639919863468]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 85.16933662231996}",0.0038796318478649394,"[-0.05344998374908805, 0.06120924744481793]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 6.524339610666338}",-0.04588845575200329,"[-0.16951867542259547, 0.07774176391858889]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 16.511660035531794}",-0.009584524819399531,"[-0.0907810637715376, 0.07161201413273854]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.1310881325831351}",-0.20621170999719463,"[-0.49581331665255024, 0.08338989665816099]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.7053763390632227}",-0.17047066439388653,"[-0.42375684209101383, 0.08281551330324077]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.2293980298131186}",-0.19925373326910567,"[-0.4817980541683635, 0.08329058763015218]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.7734292502064646}",-0.1669104818655882,"[-0.4165693293935586, 0.0827483656623822]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.22708223335487526}",-0.19941307363742006,"[-0.4821190695619786, 0.08329292228713847]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.8993930726120073}",-0.16062692203560264,"[-0.4038784324271474, 0.08262458835594211]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.7489966737814584}",-0.1264644755847923,"[-0.3347359131901211, 0.0818069620205365]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.15575517641504763}",-0.2044277695847881,"[-0.4922204798829144, 0.08336494071333822]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 11.951333297092354}",-0.018899962945176374,"[-0.11187197304409335, 0.0740720471537406]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.009615137983936}",-0.0609318584250777,"[-0.20080179789218078, 0.07893808104202538]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.6254152586876391}",-0.17481272822309318,"[-0.43252011486244446, 0.0828946584162581]",3,1,60,True,
