date,close,open,high,low,volume,change_pct
2023-03-13,24405.0,21250.0,24620.0,21110.0,28140.0,22.24
2023-03-14,25240.0,24230.0,26615.0,24030.0,16270.0,3.42
2023-03-15,24490.0,24655.0,25440.0,24005.0,13890.0,-2.97
2023-03-16,25090.0,24610.0,25300.0,24250.0,6500.0,2.45
2023-03-17,27000.0,25040.0,27155.0,25000.0,12870.0,7.61
2023-03-20,27945.0,28095.0,28715.0,27320.0,9810.0,3.5
2023-03-21,28310.0,28150.0,28680.0,27555.0,6290.0,1.31
2023-03-22,26800.0,28210.0,29045.0,26700.0,10980.0,-5.33
2023-03-23,28550.0,27200.0,28935.0,27075.0,11420.0,6.53
2023-03-24,27915.0,28385.0,28570.0,27480.0,5850.0,-2.22
2023-03-27,26980.0,27960.0,28240.0,26520.0,11150.0,-3.35
2023-03-28,27455.0,27175.0,27545.0,26650.0,9900.0,1.76
2023-03-29,28440.0,27170.0,28685.0,27170.0,9850.0,3.59
2023-03-30,27965.0,28355.0,29220.0,27680.0,9730.0,-1.67
2023-03-31,28476.5,28090.0,28625.0,27620.0,870.0,1.83
2023-04-03,28265.0,28540.0,28775.0,27595.0,7860.0,-0.74
2023-04-04,28375.0,27930.0,28650.0,27855.0,7000.0,0.39
2023-04-05,28385.0,28390.0,28985.0,27935.0,8240.0,0.04
2023-04-06,28140.0,28350.0,28350.0,27765.0,1300.0,-0.86
2023-04-07,28045.0,28302.5,28372.5,28020.0,,-0.34
2023-04-10,29420.0,28505.0,29670.0,28265.0,9750.0,4.9
2023-04-11,30325.0,29445.0,30775.0,29435.0,8510.0,3.08
2023-04-12,29925.0,30365.0,30710.0,29800.0,5860.0,-1.32
2023-04-13,30530.0,30035.0,30900.0,29940.0,5870.0,2.02
2023-04-14,30470.0,30445.0,31200.0,30065.0,7290.0,-0.2
2023-04-17,29550.0,30585.0,30585.0,29285.0,6900.0,-3.02
2023-04-18,30325.0,29555.0,30590.0,29145.0,5580.0,2.62
2023-04-19,29265.0,30435.0,30520.0,29010.0,7620.0,-3.5
2023-04-20,28095.0,29195.0,29255.0,27985.0,7610.0,-4.0
2023-04-21,27310.0,28240.0,28360.0,27195.0,6270.0,-2.79
2023-04-24,27400.0,27425.0,28010.0,26980.0,7460.0,0.33
2023-04-25,27605.0,27450.0,28070.0,27195.0,7930.0,0.75
2023-04-26,27900.0,28320.0,30050.0,27250.0,14870.0,1.07
2023-04-27,29690.0,28670.0,29920.0,28210.0,11290.0,6.42
2023-04-28,29177.5,29655.0,29705.0,28890.0,850.0,-1.73
2023-05-01,27915.0,29615.0,29615.0,27710.0,8810.0,-4.33
2023-05-02,28850.0,28030.0,29055.0,27955.0,7110.0,3.35
2023-05-03,28415.0,28795.0,28955.0,28180.0,6490.0,-1.51
2023-05-04,29015.0,29005.0,29525.0,28775.0,6570.0,2.11
2023-05-05,29765.0,28940.0,29910.0,28860.0,8260.0,2.58
2023-05-08,27365.0,29105.0,29110.0,27320.0,11970.0,-8.06
2023-05-09,27770.0,27595.0,27875.0,27400.0,4970.0,1.48
2023-05-10,27775.0,27660.0,28415.0,26745.0,11880.0,0.02
2023-05-11,26845.0,27615.0,27810.0,26730.0,7440.0,-3.35
2023-05-12,26485.0,27010.0,27085.0,25840.0,7780.0,-1.34
2023-05-15,27475.0,26885.0,27740.0,26770.0,5910.0,3.74
2023-05-16,26965.0,27410.0,27420.0,26905.0,4240.0,-1.86
2023-05-17,27430.0,27055.0,27520.0,26540.0,6680.0,1.72
2023-05-18,26780.0,27390.0,27545.0,26375.0,7840.0,-2.37
2023-05-19,26885.0,26885.0,27235.0,26675.0,5180.0,0.39
2023-05-22,26865.0,26825.0,27160.0,26540.0,7450.0,-0.07
2023-05-23,27200.0,26915.0,27565.0,26800.0,9460.0,1.25
2023-05-24,26225.0,27250.0,27265.0,26015.0,13560.0,-3.58
2023-05-25,26470.0,26370.0,26645.0,25805.0,11840.0,0.93
2023-05-26,26750.9,26500.0,26825.0,26330.0,620.0,1.06
2023-05-28,28535.0,28135.0,28615.0,28135.0,,6.67
2023-05-29,28115.0,28535.0,28810.0,26250.0,,-1.47
2023-05-30,28070.0,27915.0,28665.0,27700.0,10220.0,-0.16
2023-05-31,27075.0,27905.0,28040.0,26910.0,9360.0,-3.54
2023-06-01,26925.0,27185.0,27440.0,26675.0,5120.0,-0.55
2023-06-02,27385.0,26965.0,27440.0,26560.0,7220.0,1.71
2023-06-05,25640.0,27335.0,27615.0,25390.0,14010.0,-6.37
2023-06-06,27265.0,25665.0,27375.0,25315.0,14580.0,6.34
2023-06-07,26610.0,27170.0,27525.0,26330.0,7110.0,-2.4
2023-06-08,26650.0,26335.0,26955.0,26200.0,4010.0,0.15
2023-06-09,26475.0,26710.0,26920.0,26380.0,4380.0,-0.66
2023-06-12,25890.0,26155.0,26190.0,25670.0,5100.0,-2.21
2023-06-13,25930.0,26010.0,26555.0,25725.0,5190.0,0.15
2023-06-14,25900.0,25890.0,26155.0,24815.0,5870.0,-0.12
2023-06-15,25470.0,25110.0,25620.0,24745.0,10610.0,-1.66
2023-06-16,26445.0,25600.0,26600.0,25145.0,10240.0,3.83
2023-06-18,26532.5,25342.5,26647.5,25342.5,,0.33
2023-06-19,26945.0,26522.5,27225.0,26510.0,,1.55
2023-06-20,28180.0,26485.0,28445.0,26310.0,17220.0,4.58
2023-06-21,30260.0,28250.0,30940.0,28250.0,18500.0,7.38
2023-06-22,30370.0,30020.0,30685.0,29740.0,10150.0,0.36
2023-06-23,31120.0,30175.0,31655.0,29975.0,12560.0,2.47
2023-06-26,30315.0,30690.0,30800.0,30000.0,9080.0,-2.59
2023-06-27,30705.0,30215.0,31115.0,30185.0,10870.0,1.29
2023-06-28,30110.0,30785.0,30785.0,29870.0,11520.0,-1.94
2023-06-29,30550.0,30170.0,30870.0,30055.0,11870.0,1.46
2023-06-30,30128.5,30395.0,31255.0,29625.0,1030.0,-1.38
2023-07-03,31700.0,30850.0,31835.0,30735.0,6600.0,5.22
2023-07-04,31062.5,31605.0,31725.0,30945.0,,-2.01
2023-07-05,30675.0,31480.0,31725.0,30420.0,9570.0,-1.25
2023-07-06,30510.0,30705.0,31860.0,30060.0,11170.0,-0.54
2023-07-07,30370.0,30370.0,30685.0,29875.0,6540.0,-0.46
2023-07-10,31055.0,30290.0,31260.0,30075.0,5870.0,2.26
2023-07-11,30755.0,30700.0,31000.0,30305.0,6160.0,-0.97
2023-07-12,30395.0,30705.0,31190.0,30325.0,10380.0,-1.17
2023-07-13,31925.0,30460.0,32165.0,30360.0,14990.0,5.03
2023-07-14,30235.0,31515.0,31910.0,30025.0,11610.0,-5.29
2023-07-17,29990.0,30415.0,30495.0,29740.0,6240.0,-0.81
2023-07-18,29785.0,30335.0,30355.0,29535.0,5770.0,-0.68
2023-07-19,30105.0,29810.0,30275.0,29775.0,5140.0,1.07
2023-07-20,29765.0,29955.0,30515.0,29560.0,9410.0,-1.13
2023-07-21,29885.0,29920.0,30120.0,29735.0,5300.0,0.4
2023-07-24,29105.0,29960.0,30135.0,28810.0,13190.0,-2.61
2023-07-25,29180.0,29145.0,29390.0,29055.0,8130.000000000001,0.26
2023-07-26,29395.0,29240.0,29690.0,29075.0,8170.0,0.74
2023-07-27,29115.0,29505.0,29575.0,29035.0,8850.0,-0.95
2023-07-28,29397.1,29200.0,29420.0,29080.0,870.0,0.97
2023-07-31,29285.0,29390.0,29760.0,29255.0,5500.0,-0.38
2023-08-01,29440.0,29400.0,29520.0,28625.0,10570.0,0.53
2023-08-02,29280.0,29385.0,30245.0,28980.0,10810.0,-0.54
2023-08-03,29410.0,29285.0,29600.0,29060.0,4670.0,0.44
2023-08-04,29090.0,29400.0,29490.0,28860.0,5360.0,-1.09
2023-08-07,29255.0,29125.0,29315.0,28720.0,6490.0,0.57
2023-08-08,30075.0,29320.0,30260.0,29235.0,10860.0,2.8
2023-08-09,29510.0,30065.0,30275.0,29460.0,7170.0,-1.88
2023-08-10,29495.0,29635.0,29855.0,29390.0,4120.0,-0.05
2023-08-11,29465.0,29560.0,29680.0,29310.0,4910.0,-0.1
2023-08-14,29395.0,29450.0,29810.0,29095.0,7830.0,-0.24
2023-08-15,29225.0,29460.0,29595.0,29115.0,4360.0,-0.58
2023-08-16,29130.0,29255.0,29305.0,28855.0,5150.0,-0.33
2023-08-17,27850.0,28955.0,28990.0,27485.0,14270.0,-4.39
2023-08-18,26020.0,26475.0,27005.0,25600.0,11660.0,-6.57
2023-08-21,26065.0,26195.0,26220.0,25795.0,7370.0,0.17
2023-08-22,25730.0,26160.0,26165.0,25690.0,7670.0,-1.29
2023-08-23,26640.0,25595.0,26810.0,25585.0,12130.0,3.54
2023-08-24,25995.0,26300.0,26560.0,25805.0,8640.0,-2.42
2023-08-25,26003.4,26070.0,26190.0,25945.0,850.0,0.03
2023-08-28,26090.0,26210.0,26360.0,25930.0,3320.0,0.33
2023-08-29,28010.0,26075.0,28335.0,25980.0,19910.0,7.36
2023-08-30,27260.0,27875.0,27970.0,27130.0,7290.0,-2.68
2023-08-31,26240.0,27385.0,27705.0,26010.0,10310.0,-3.74
2023-09-01,25700.0,26070.0,26225.0,25400.0,6920.0,-2.06
2023-09-03,26010.0,25610.0,26035.0,25610.0,,1.21
2023-09-04,25875.0,26010.0,26170.0,25670.0,,-0.52
2023-09-05,25735.0,25985.0,26170.0,25580.0,4760.0,-0.54
2023-09-06,25705.0,25795.0,26140.0,25335.0,5240.0,-0.12
2023-09-07,25980.0,25795.0,26090.0,25630.0,3780.0,1.07
2023-09-08,26005.0,26210.0,26560.0,25690.0,6230.0,0.1
2023-09-11,25030.0,25930.0,26120.0,24925.0,8630.0,-3.75
2023-09-12,26125.0,25140.0,26685.0,25100.0,11270.0,4.37
2023-09-13,26205.0,26180.0,26520.0,25845.0,5250.0,0.31
2023-09-14,26765.0,26330.0,26955.0,26215.0,5970.0,2.14
2023-09-15,26475.0,26635.0,26780.0,26265.0,3990.0,-1.08
2023-09-18,26885.0,26560.0,27550.0,26425.0,10480.0,1.55
2023-09-19,27270.0,26885.0,27620.0,26715.0,8350.0,1.43
2023-09-20,26990.0,27225.0,27455.0,26845.0,5570.0,-1.03
2023-09-21,26635.0,27165.0,27230.0,26380.0,6750.0,-1.32
2023-09-22,26545.0,26600.0,26815.0,26525.0,3760.0,-0.34
2023-09-25,26355.0,26545.0,26545.0,25985.0,9700.0,-0.72
2023-09-26,26245.0,26300.0,26430.0,26090.0,8230.0,-0.42
2023-09-27,26250.0,26150.0,26890.0,26080.0,12320.0,0.02
2023-09-28,27120.0,26280.0,27370.0,26280.0,10620.0,3.31
2023-09-29,26869.7,27040.0,27225.0,26750.0,800.0,-0.92
2023-10-02,28150.0,27190.0,28950.0,27190.0,16750.0,4.76
2023-10-03,27385.0,27680.0,27805.0,27290.0,8350.0,-2.72
2023-10-04,27775.0,27520.0,28015.0,27270.0,5560.0,1.42
2023-10-05,27605.0,27855.0,28340.0,27465.0,10420.0,-0.61
2023-10-06,28145.0,27600.0,28275.0,27290.0,9350.0,1.96
2023-10-09,27735.0,28085.0,28145.0,27370.0,7430.0,-1.46
2023-10-10,27490.0,27720.0,27890.0,27390.0,6130.0,-0.88
2023-10-11,26800.0,27540.0,27590.0,26575.0,10160.0,-2.51
2023-10-12,26755.0,26775.0,27025.0,26575.0,4430.0,-0.17
2023-10-13,26840.0,26795.0,27160.0,26695.0,4860.0,0.32
2023-10-16,28575.0,27275.0,30365.0,27145.0,26790.0,6.46
2023-10-17,28620.0,28575.0,28805.0,28245.0,6600.0,0.16
2023-10-18,28320.0,28590.0,29120.0,28215.0,4730.0,-1.05
2023-10-19,28900.0,28335.0,29095.0,28175.0,7780.0,2.05
2023-10-20,29685.0,28745.0,30465.0,28700.0,10080.0,2.72
2023-10-23,31485.0,29860.0,31940.0,29840.0,15580.0,6.06
2023-10-24,33845.0,31705.0,35265.0,31705.0,26560.0,7.5
2023-10-25,34840.0,34150.0,35245.0,33745.0,13540.0,2.94
2023-10-26,34065.0,34685.0,34940.0,33760.0,11710.0,-2.22
2023-10-27,33980.1,34150.0,34290.0,33835.0,930.0,-0.25
2023-10-30,34765.0,34785.0,35175.0,34330.0,6450.0,2.31
2023-10-31,34905.0,34775.0,35110.0,34295.0,5970.0,0.4
2023-11-01,34965.0,34865.0,35940.0,34310.0,9750.0,0.17
2023-11-02,35300.0,35810.0,36575.0,34590.0,10330.0,0.96
2023-11-03,34805.0,35200.0,35265.0,34395.0,6830.0,-1.4
2023-11-06,35320.0,35310.0,35820.0,35030.0,5080.0,1.48
2023-11-07,36145.0,35385.0,36340.0,34755.0,8039.999999999999,2.34
2023-11-08,35895.0,35760.0,36415.0,35300.0,7860.0,-0.69
2023-11-09,36805.0,36090.0,38380.0,35865.0,16530.0,2.54
2023-11-10,37555.0,36815.0,37875.0,36605.0,8280.0,2.04
2023-11-13,36915.0,37510.0,37720.0,36505.0,6820.0,-1.7
2023-11-14,35365.0,36805.0,36975.0,34820.0,10500.0,-4.2
2023-11-15,37820.0,35665.0,38130.0,35490.0,12340.0,6.94
2023-11-16,36040.0,37955.0,38285.0,35610.0,11860.0,-4.71
2023-11-17,36565.0,36295.0,37045.0,35945.0,10400.0,1.46
2023-11-20,37615.0,37075.0,37865.0,36745.0,15560.0,2.87
2023-11-21,36920.0,37525.0,37745.0,36225.0,17840.0,-1.85
2023-11-22,37655.0,36430.0,37925.0,35600.0,11870.0,1.99
2023-11-23,37292.5,37465.0,37705.0,36877.5,,-0.96
2023-11-24,38122.8,37540.0,38195.0,36890.0,2670.0,2.23
2023-11-27,37210.0,38365.0,38365.0,37100.0,8700.0,-2.39
2023-11-28,38885.0,37555.0,39250.0,37300.0,12490.0,4.5
2023-11-29,38065.0,38585.0,39105.0,38005.0,9090.0,-2.11
2023-11-30,38190.0,38205.0,38650.0,37870.0,6890.0,0.33
2023-12-01,39225.0,38150.0,39640.0,38045.0,11740.0,2.71
2023-12-04,42280.0,40480.0,42715.0,40325.0,13280.0,7.79
2023-12-05,44290.0,42395.0,44725.0,41810.0,10620.0,4.75
2023-12-06,44215.0,44770.0,44775.0,43815.0,9160.0,-0.17
2023-12-07,43700.0,44220.0,44555.0,43355.0,7770.0,-1.16
2023-12-08,44910.0,43595.0,45260.0,43515.0,7010.0,2.77
2023-12-11,41035.0,44320.0,44320.0,40450.0,14410.0,-8.63
2023-12-12,41455.0,41530.0,42295.0,40895.0,6930.0,1.02
2023-12-13,43210.0,41445.0,43505.0,40800.0,7730.0,4.23
2023-12-14,43140.0,43350.0,43710.0,41935.0,8290.0,-0.16
2023-12-15,42440.0,43285.0,43455.0,41855.0,6430.0,-1.62
2023-12-18,42105.0,41950.0,42995.0,40705.0,6930.0,-0.79
2023-12-19,42360.0,42770.0,43670.0,41905.0,9270.0,0.61
2023-12-20,43630.0,42455.0,44585.0,42305.0,10590.0,3.0
2023-12-21,43860.0,43770.0,44465.0,43470.0,8470.0,0.53
2023-12-22,43765.0,44110.0,44640.0,43495.0,9110.0,-0.22
2023-12-25,43625.0,43960.0,43960.0,43435.0,,-0.32
2023-12-26,42150.0,43740.0,43760.0,41645.0,11160.0,-3.38
2023-12-27,43565.0,42475.0,43685.0,42150.0,9100.0,3.36
2023-12-28,42515.0,43450.0,43895.0,42265.0,6590.0,-2.41
2023-12-29,42679.7,42675.0,43115.0,42215.0,550.0,0.39
