optionsymbol,exchange,date,futuresymbol,optionroot,expiration,securityid,strike,strikemultiplier,callput,futureexchange,futuresettlementprice,settlementprice,bid,offer,closeprice,volume,openinterest,lasttradedate,impliedvolatility,delta,vega,theta,gamma,rho,drho,optionid,exercisestyle,dte
P1E 23M34000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,34000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,1.499643,0.001678,7.618574,-2085.042085,2.56e-06,0.121069,-99.99,2016618655,E,1
P1E 23M34000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,34000.0,1.0,P,CMG,26925.0,7075.0,-99.99,-99.99,7075.0,0,0,,1.485745,-0.998341,7.011701,-1573.285387,2.38e-06,-93.028288,-99.99,2016618656,E,1
P1E 23M35000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,35000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,1.666859,0.001525,6.979914,-2123.255731,2.11e-06,0.109728,-99.99,2016618657,E,1
P1E 23M35000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,35000.0,1.0,P,CMG,26925.0,8075.0,-99.99,-99.99,8075.0,0,0,,1.670456,-0.998316,7.116897,-1795.367372,2.15e-06,-95.766153,-99.99,2016618658,E,1
P1E 23M36000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,36000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,1.827727,0.001402,6.466938,-2157.066947,1.78e-06,0.100704,-99.99,2016618659,E,1
P1E 23M36000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,36000.0,1.0,P,CMG,26925.0,9075.0,-99.99,-99.99,9075.0,0,0,,1.85,-0.998291,7.220967,-2017.352201,1.97e-06,-98.504035,-99.99,2016618660,E,1
P1E 23M37000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,37000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,1.982793,0.001302,6.044961,-2187.381226,1.53e-06,0.09334,-99.99,2016618661,E,1
P1E 23M37000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,37000.0,1.0,P,CMG,26925.0,10075.0,-99.99,-99.99,10075.0,0,0,,2.024664,-0.998266,7.323955,-2239.232335,1.82e-06,-101.241933,-99.99,2016618662,E,1
P1E 23M38000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,38000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,2.132516,0.001219,5.691128,-2214.850047,1.34e-06,0.087209,-99.99,2016618663,E,1
P1E 23M38000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,38000.0,1.0,P,CMG,26925.0,11075.0,-99.99,-99.99,11075.0,0,0,,2.19471,-0.998241,7.425901,-2461.002174,1.7e-06,-103.979847,-99.99,2016618664,E,1
