datetime,addresses_count_active,DER_inflow_total,DER_netflow_total,DER_outflow_total,DER_reserveusd,DER_transactions_count_inflow,DER_transactions_count_outflow,estimated_leverage_ratio,exchange_whale_ratio,funding_rates,long_liquidations_usd,open_interest,put_oi,call_oi,short_liquidations_usd,SPOT_inflow_total,SPOT_netflow_total,SPOT_outflow_total,SPOT_reserve_usd,SPOT_transactions_count_inflow,SPOT_transactions_count_outflow,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume
2018-01-11,1152568.0,42648.57557816,2371.9880372800035,40276.58754088,,,,,0.3056446,0.0008221183333333333,,,,,,63931.86255793,5541.0002393899995,58390.86231854,19190029450.376545,68360.0,14957.0,0.52732625,1.11562414,467350689.0
2018-01-12,943080.0,39670.98490129,7367.540053030003,32303.44484826,,,,,0.28986358,0.02673059,,,,,,38813.84299417,-2945.746857209997,41759.58985138,19658665601.66029,58414.0,12523.0,0.50278812,1.01121501,295906391.0
2018-01-13,967584.0,35076.47381507,-128.39649096000358,35204.87030603,,,,,0.35956464,0.003539525,,,,,,31733.25284674,-3406.8628414899977,35140.11568823,18978997395.1853,48992.0,12376.0,0.47947721,0.92114546,386905910.0
2018-01-14,953007.0,58463.59074509,6066.07092405,52397.51982104,,,,,0.27522676,0.007804016666666667,,,,,,44863.09525861,-1600.6122857599985,46463.70754437,18763818961.526688,56314.0,11610.0,0.50014479,1.00057932,373807506.0
2018-01-15,999065.0,82496.78614702,13078.862685510001,69417.92346151,,,,,0.32537883,-0.03034647,,,,,,82629.21693542,5672.261945699996,76956.95498972,16158410459.667923,74052.0,15511.0,0.47418204,0.90179885,1306837781.0
2018-01-16,1090522.0,83750.20767532,7338.996425680001,76411.21124964,,,,,0.33292068,-0.033977465,,,,,,87037.82469261,8123.748802779999,78914.07588983,15885353018.214237,80488.0,14113.0,0.49921995,0.99688464,1131659283.0
2018-01-17,1053533.0,70662.06334392,11309.41166333,59352.65168059,,,,,0.42261383,-0.011982834999999999,,,,,,85315.1336503,17466.97549375001,67848.15815655,16123390296.520872,71100.0,13737.0,0.50501597,1.02026721,722781377.0
2018-01-18,1027758.0,49520.21318381,-12389.354705439997,61909.56788925,,,,,0.45133337,-0.01045699,,,,,,65741.64990964,172.769431179986,65568.88047846,16750149914.593071,51195.0,13041.0,0.49306826,0.97265217,487906784.0
2018-01-19,973534.0,36762.02744613,-5475.7691968200015,42237.79664295,,,,,0.38946902,0.0008062966666666666,,,,,,41137.00860796,-22307.81955932,63444.82816728,17963526054.379505,45840.0,12227.0,0.53161821,1.13501042,494750327.0
2018-01-20,985152.0,35462.46775382,-4147.296349740005,39609.76410356,,,,,0.40355811,-0.013469965,,,,,,32221.90175995,-334.33992794000005,32556.24168789,16272523777.978907,41967.0,11660.0,0.48208586,0.93082198,551307517.0
2018-01-21,944996.0,43239.2773868,2223.338633899999,41015.9387529,,,,,0.37160754,-0.021591261666666667,,,,,,46012.4651783,-2152.555368469999,48165.02054677,15337045951.490404,44868.0,11457.0,0.50319666,1.01286892,748171797.0
2018-01-22,900248.0,42837.93408041,-68.23031081999943,42906.16439123,,,,,0.35493381,-0.026588773333333333,,,,,,46454.78704545,42.14582918999804,46412.64121626,15574331640.144348,45804.0,13298.0,0.49783341,0.99137103,721808710.0
2018-01-23,944583.0,43829.01296969,53.62603279999894,43775.38693689,,,,,0.35953248,0.0019111116666666666,,,,,,39468.3427015,-1554.4731569400028,41022.81585844,16006265185.597086,44574.0,13380.0,0.50506082,1.02045028,571534968.0
2018-01-24,841506.0,38915.4193073,4676.473718169997,34238.94558913,,,,,0.31206273,0.0016666666666666668,,,,,,39536.63535628,1884.6698202400003,37651.96553604,15921994331.10933,43275.0,11892.0,0.49911529,0.99646742,489794399.0
2018-01-25,807963.0,40846.07041652,-3033.2508143800005,43879.3212309,,,,,0.52916415,-0.00148581,,,,,,62049.16894822,5100.840904700002,56948.32804352,15950651781.218163,41301.0,11711.0,0.50400552,1.01615148,732236602.0
2018-01-26,870592.0,25781.92655503,-3642.5293859599988,29424.45594099,,,,,0.38096445,0.020063541666666667,,,,,,20589.39938695,-401.43354783999894,20990.83293479,16397768470.678545,32445.0,10295.0,0.50110582,1.0044331,505914197.0
2018-01-27,768043.0,37121.19121264,497.59167299999535,36623.59953964,,,,,0.36864164,0.052453403333333336,,,,,,32002.72152541,1934.7713026400015,30067.95022277,16678837914.122034,36693.0,11453.0,0.49925344,0.99701821,375456517.0
2018-01-28,778150.0,38837.4063268,90.72098029000335,38746.68534651,,,,,0.28844837,0.04347446833333333,,,,,,29279.82871636,-2160.3705365700007,31440.19925293,16119553415.0907,39315.0,10083.0,0.49288593,0.97194292,454850687.0
2018-01-29,838824.0,43960.09076017,-1084.9351891999977,45045.02594937,,,,,0.34003103,-0.00346574,,,,,,44146.89791532,2905.282209680001,41241.61570564,14638946112.107832,42394.0,10367.0,0.4953571,0.98159927,768425699.0
2018-01-30,676289.0,46103.24074545,2278.7564999499955,43824.4842455,,,,,0.28761999,-0.030515266666666666,,,,,,29953.24775561,-6607.021719310003,36560.26947492,14769859736.42127,39407.0,12267.0,0.51231184,1.05049064,594388200.0
2018-01-31,842407.0,86612.23724736,23735.744563829998,62876.49268353,,,,,0.40286358,-0.014607165,,,,,,60600.25221077,-2236.5509445299977,62836.8031553,13566231242.09535,47490.0,12670.0,0.47014247,0.88729979,836366044.0
2018-02-01,854261.0,97989.84836448,20910.43850278,77079.4098617,,,,,0.31978405,0.004845416666666667,,,,,,73055.25844837,-381.35876540000027,73436.61721377,13122501136.404902,49651.0,12009.0,0.48716319,0.94993803,959662884.0
2018-02-02,714666.0,40353.31724178,-1413.292352559998,41766.60959434,,,,,0.35910606,-0.018837835,,,,,,25573.58071538,-777.830616559997,26351.41133194,13411124751.291668,35443.0,11472.0,0.50959505,1.03913114,599705039.0
2018-02-03,720912.0,60366.39993662,25955.897171470002,34410.50276515,,,,,0.38891658,-0.00909074,,,,,,28678.81967041,-2625.7339075399977,31304.55357795,12384979669.295332,30644.0,10598.0,0.4867186,0.94824906,698964592.0
2018-02-04,903367.0,86149.39217519,22323.628830470007,63825.76334472,,,,,0.3236776,-0.032045891666666666,,,,,,66136.72462346,6840.679522410006,59296.04510105,10795889353.078123,43674.0,12149.0,0.48114422,0.92731785,1005053783.0
2018-02-05,999121.0,91885.5101409,13826.87579358001,78058.63434732,,,,,0.29667072,-0.019846551666666667,,,,,,77093.36641617,1241.5232267200045,75851.84318945,11983083634.823946,50081.0,15123.0,0.51111619,1.04547581,1218485523.0
2018-02-06,814508.0,50811.30523916,-1579.2313402799991,52390.53657944,,,,,0.43276886,-0.03929674833333333,,,,,,46872.68385112,5185.539224679997,41687.14462644,11802904433.914091,39664.0,14736.0,0.50619593,1.0250947,996608383.0
2018-02-07,746349.0,37162.35052638,-1009.8711497599943,38172.22167614,,,,,0.65673526,-0.013995498333333333,,,,,,51012.88335035,20109.20079843,30903.68255192,12595154881.92492,35344.0,12526.0,0.50400575,1.01615242,862509643.0
2018-02-08,775358.0,35441.71874414,-14677.636666039994,50119.35541018,,,,,0.47076886,-0.019027361666666666,,,,,,42142.86041012,-10270.701637389997,52413.56204751,13151593612.718525,37989.0,13717.0,0.50846389,1.03443852,743459775.0
2018-02-09,741906.0,38352.75353244,-4148.395662759998,42501.1491952,,,,,0.3208965,-0.011028206666666667,,,,,,26352.45312222,836.6254057099977,25515.82771651,12961345195.012936,33245.0,11281.0,0.49196924,0.96838474,756123927.0
2018-02-10,818420.0,41524.23528137,6179.1994414,35345.03583997,,,,,0.41519361,-0.021735775,,,,,,14749.90829523,-2445.1839853500005,17195.09228058,12353887966.309288,25124.0,11984.0,0.49461537,0.97869096,755932079.0
2018-02-11,914744.0,31263.66591289,-393.98626745,31657.65218034,,,,,0.41629581,0.0076946766666666664,,,,,,19695.6884201,-5375.371771910002,25071.06019201,13318169329.892473,30413.0,12461.0,0.51094166,1.04474584,820723287.0
2018-02-12,852830.0,31976.4710597,-3833.1108133800008,35809.58187308,,,,,0.42489769,-0.0040105900000000005,,,,,,27022.32978936,4548.52637286,22473.8034165,12890486633.169233,29874.0,12721.0,0.48820317,0.95390032,747325174.0
2018-02-13,937586.0,35593.57634223,-3454.712733139997,39048.28907537,,,,,0.56988211,0.000418785,,,,,,42896.71663361,725.0244189199948,42171.69221469,14035857287.604286,35899.0,14239.0,0.52113347,1.08826457,871634904.0
2018-02-14,788520.0,37059.28856105,2343.3614669599992,34715.92709409,,,,,0.41213651,-0.002627441666666667,,,,,,32590.46125896,-6381.241013370003,38971.70227233,14728675757.275566,36864.0,12310.0,0.50909231,1.03704286,1077307949.0
2018-02-15,773228.0,37388.66879643,-572.3454397800015,37961.01423621,,,,,0.5017632,-0.007493495,,,,,,24772.41679787,-1650.5414467100018,26422.95824458,14837396266.903446,30354.0,15578.0,0.50151351,1.00607243,877977305.0
2018-02-16,770450.0,27404.69335216,601.6095317200015,26803.08382044,,,,,0.38463915,0.00023719833333333334,,,,,,18823.26722545,-1038.6861102000003,19861.95333565,15866926046.117218,29355.0,12097.0,0.51385425,1.05699629,1119232111.0
2018-02-17,730175.0,22543.48411578,-2601.027484350001,25144.51160013,,,,,0.47911472,0.00090596,,,,,,22903.80599448,-117.11804923999807,23020.92404372,15191921782.415533,26909.0,13712.0,0.47976909,0.92222334,1442483142.0
2018-02-18,849889.0,28134.56580208,3747.7525941800013,24386.8132079,,,,,0.34206566,0.002174445,,,,,,16398.93120625,-3210.311481500001,19609.24268775,15960633026.698397,31407.0,13637.0,0.49770592,0.99086559,1216017319.0
2018-02-19,714645.0,42816.4406188,8691.492185529998,34124.94843327,,,,,0.34107037,0.009114445,,,,,,31738.27141354,5991.28489359,25746.98651995,16104478931.784246,34540.0,11143.0,0.49898041,0.99592993,1364083629.0
2018-02-20,705387.0,41241.41601071,4796.285438650004,36445.13057206,,,,,0.30857633,-0.006748113333333333,,,,,,28798.159364,-4419.777339680004,33217.93670368,15139204118.803774,32685.0,16113.0,0.4913811,0.96610862,1578184136.0
2018-02-21,713590.0,36860.31178697,5605.374306260001,31254.93748071,,,,,0.70760833,5.3668333333333336e-05,,,,,,49419.03443563,8367.438956769998,41051.59547886,14519111774.092075,30422.0,15988.0,0.48802959,0.9532379,1570371609.0
2018-02-22,739570.0,30864.57682183,-3123.602509850003,33988.17933168,,,,,0.46431464,-0.0025967366666666664,,,,,,28619.93576621,-774.1123827400006,29394.04814895,14903366690.164265,30262.0,14211.0,0.50269589,1.01084201,1413364082.0
2018-02-23,704058.0,29121.87718055,-505.70634408000114,29627.58352463,,,,,0.38432714,-0.01955449,,,,,,18431.77159421,617.0758572500017,17814.69573696,14276605846.719763,24363.0,13792.0,0.49331626,0.97361769,1371831584.0
2018-02-24,528654.0,22414.69770549,3047.5796459500016,19367.11805954,,,,,0.48154131,-0.013988565,,,,,,16288.25442985,2182.54019281,14105.71423704,14135276559.127445,22689.0,12665.0,0.5036609,1.01475159,1158513284.0
2018-02-25,669623.0,31956.7469005,2202.4764731299983,29754.27042737,,,,,0.52482798,-0.008199096666666668,,,,,,28999.09496209,4286.775705379998,24712.31925671,15062257899.879904,28318.0,13359.0,0.52011962,1.08385263,1300568855.0
2018-02-26,713403.0,29247.17199292,-1774.6696402800007,31021.8416332,,,,,0.36566117,0.00545331,,,,,,27475.95771266,-1659.420278739999,29135.3779914,15514331539.39906,33215.0,13354.0,0.49992521,0.99970088,1319703647.0
2018-02-27,806237.0,35732.14605038,1367.4715248199936,34364.67452556,,,,,0.64358571,0.010257801666666667,,,,,,38308.63319434,682.5353104500027,37626.09788389,15113732117.336946,29884.0,15517.0,0.49229392,0.96964352,1544710977.0
2018-02-28,819981.0,36614.5949244,11578.04643396,25036.54849044,,,,,0.56728353,0.003951146666666666,,,,,,34958.11225604,3116.8159642900027,31841.29629175,15859282645.18773,35755.0,14962.0,0.51872206,1.07780146,1598840783.0
2018-03-01,749023.0,28497.71915241,3758.3665030500015,24739.35264936,,,,,0.40392454,0.020399999999999998,,,,,,24601.14262326,1519.176211619997,23081.96641164,16039796891.548172,35281.0,12452.0,0.49878091,0.9951355,1478419376.0
2018-03-02,930026.0,21868.44673,-1477.1752546899988,23345.62198469,,,,,0.53224013,0.013475948333333333,,,,,,15980.9717409,2456.671370920001,13524.30036998,16552405396.561092,29964.0,16397.0,0.50828343,1.03369187,1425004882.0
2018-03-03,802172.0,22324.068303,3935.5282983399993,18388.54000466,,,,,0.4246962,0.01219721,,,,,,14044.6903856,-936.7860214199991,14981.47640702,16641146101.86721,25151.0,12373.0,0.4997001,0.99880111,1316409710.0
2018-03-04,850566.0,30573.01177897,6890.36496649,23682.64681248,,,,,0.65837457,0.021132465,,,,,,32351.17773109,7526.47145592,24824.70627517,16716888016.783852,31282.0,11360.0,0.49238636,0.97000223,1186580840.0
2018-03-05,836894.0,27731.65737088,-1719.940066680003,29451.59743756,,,,,0.43340641,0.009527476666666666,,,,,,27221.41926949,4741.551037410001,22479.86823208,15762609142.064825,30564.0,12520.0,0.47677496,0.9112235,1898146385.0
2018-03-06,917555.0,35463.53896752,-253.73445879000064,35717.27342631,,,,,0.38735835,0.0036393866666666664,,,,,,33701.65268056,-2803.219008,36504.87168856,14706697053.433014,32081.0,12632.0,0.49913258,0.99653634,2407637110.0
2018-03-07,915698.0,37058.41023926,-15511.090710299999,52569.50094956,,,,,0.49776559,-0.023228333333333333,,,,,,32237.90537503,646.6344587200001,31591.27091631,14068906128.800552,29189.0,14341.0,0.50363938,1.01466425,2425514482.0
2018-03-08,881628.0,44463.35156539,1648.7602920999998,42814.59127329,,,,,0.47666737,-0.015287095,,,,,,34021.25279062,-1711.2265142899996,35732.47930491,13227399763.292898,33759.0,17212.0,0.50632387,1.02561953,2898340382.0
2018-03-09,810973.0,21380.91788315,-89.90917103999891,21470.82705419,,,,,0.52911632,-0.02637412,,,,,,15188.10468158,-1812.0629952000018,17000.16767678,12484142048.930298,22352.0,11720.0,0.49137133,0.96607085,1551851400.0
2018-03-10,884564.0,24890.60736296,-503.08711219999896,25393.69447516,,,,,0.51080253,-0.03859512666666667,,,,,,21255.64286432,1006.5869669300009,20249.05589739,13433466651.757364,21355.0,10473.0,0.50587907,1.02379607,1997197844.0
2018-03-11,844775.0,28221.97195876,-1940.4182541400005,30162.3902129,,,,,0.46241914,0.0011419216666666667,,,,,,25568.28408511,1680.5894703400008,23887.69461477,12947553553.40725,26542.0,10436.0,0.49319719,0.97315402,1902641080.0
2018-03-12,764106.0,26926.06679226,1660.3010294300002,25265.76576283,,,,,0.51777116,-0.012349421666666666,,,,,,27022.91834598,642.6167236900001,26380.30162229,12976609560.48551,25656.0,8633.0,0.50825718,1.03358332,1812530856.0
2018-03-13,574892.0,47515.13640316,15849.137130390001,31665.99927277,,,,,0.37268997,-0.011190416666666666,,,,,,29038.28545707,1072.487430969999,27965.7980261,11767033981.11886,27456.0,9340.0,0.47461142,0.90335313,1710377777.0
2018-03-14,617139.0,45352.84552613,7189.453099589999,38163.39242654,,,,,0.41309415,-0.019403125,,,,,,33048.33863282,1681.071385359999,31367.26724746,11850852191.575773,31225.0,11738.0,0.50382993,1.01543797,1922551924.0
2018-03-15,593940.0,30476.53271367,4990.51110267,25486.021611,,,,,0.52066052,-0.020066168333333332,,,,,,22623.43472941,424.5025058499996,22198.93222356,11939216012.677872,25830.0,10482.0,0.50142917,1.00573307,1366979470.0
2018-03-16,460743.0,22452.69753115,2336.6211860099975,20116.07634514,,,,,0.37875749,-0.01234125,,,,,,15376.86263625,-3199.8257700799986,18576.68840633,11354413367.023216,20950.0,9048.0,0.49854741,0.99420648,1296763926.0
2018-03-17,534906.0,39758.05874987,12539.985839319997,27218.07291055,,,,,0.40761422,-0.008219386666666667,,,,,,26624.84781013,5244.12449333,21380.7233168,11780952565.797123,24934.0,8111.0,0.51517592,1.06260381,1964164571.0
2018-03-18,582460.0,44422.98415229,10320.616325440002,34102.36782685,,,,,0.43465764,-0.002779433333333333,,,,,,30071.49996099,1577.8770021599994,28493.62295883,12193874005.726143,27128.0,9688.0,0.5114196,1.04674605,1623533421.0
2018-03-19,568469.0,34348.53223075,5461.353687790004,28887.17854296,,,,,0.3990938,0.0006072100000000001,,,,,,29639.69819085,-9709.998869960004,39349.69706081,12572699131.508772,27303.0,8184.0,0.50652668,1.02645201,1569859616.0
2018-03-20,573438.0,32228.40926227,3089.0161468900005,29139.39311538,,,,,0.55351566,-0.0008722216666666666,,,,,,27327.57086778,2873.6521607799987,24453.918707,12609099627.378586,27432.0,10154.0,0.49511944,0.98066649,1504076526.0
2018-03-21,595119.0,29498.51996975,-4647.350847250003,34145.870817,,,,,0.45412264,0.0020088316666666667,,,,,,20043.59026993,-8615.9527113,28659.54298123,12277327281.486553,25954.0,10734.0,0.48469943,0.94061498,1497025898.0
2018-03-22,624356.0,31853.11403193,3490.26089469,28362.85313724,,,,,0.57799076,0.0017856133333333333,,,,,,20112.54260109,-3454.8979191399994,23567.44052023,12458505826.504152,25525.0,11255.0,0.49579015,0.98330122,1514331144.0
